"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.008388634E0,-2.718000031E1,2.303999901E1,-6.018000031E1,6.993730341E1
3.018388634E0,-2.801999855E1,2.231999969E1,-5.963999939E1,6.957177756E1
3.028388634E0,-2.813999939E1,2.237999916E1,-5.934000015E1,6.938270351E1
3.038388634E0,-2.784000015E1,2.268000031E1,-5.945999908E1,6.946178455E1
3.048388667E0,-2.753999901E1,2.279999924E1,-5.939999771E1,6.933001687E1
3.058388667E0,-2.639999962E1,2.423999977E1,-6.035999680E1,7.019876624E1
3.068388667E0,-2.621999931E1,2.400000000E1,-6.018000031E1,6.989363920E1
3.078388667E0,-2.621999931E1,2.345999908E1,-6.005999756E1,6.960648840E1
3.088387767E0,-2.645999908E1,2.363999939E1,-6.047999954E1,7.011997909E1
3.098387733E0,-2.723999977E1,2.315999985E1,-5.969999695E1,6.958802207E1
3.108387699E0,-2.663999939E1,2.369999886E1,-5.993999863E1,6.974369469E1
3.118387699E0,-2.718000031E1,2.339999962E1,-6.011999893E1,7.000519031E1
3.128387699E0,-2.735999870E1,2.351999855E1,-5.975999832E1,6.980700008E1
3.138387699E0,-2.711999893E1,2.334000015E1,-5.987999725E1,6.975574543E1
3.148387699E0,-2.729999924E1,2.334000015E1,-5.945999908E1,6.946608566E1
3.158387699E0,-2.657999992E1,2.400000000E1,-5.934000015E1,6.930896056E1
3.168387699E0,-2.681999969E1,2.381999969E1,-6.000000000E1,6.990496956E1
3.178387699E0,-2.735999870E1,2.351999855E1,-6.005999756E1,7.006399337E1
3.188388565E0,-2.723999977E1,2.363999939E1,-5.934000015E1,6.944136215E1
3.198388565E0,-2.771999931E1,2.345999908E1,-5.915999985E1,6.941668028E1
3.208388598E0,-2.681999969E1,2.369999886E1,-5.873999786E1,6.878509779E1
3.218388598E0,-2.634000015E1,2.400000000E1,-5.945999908E1,6.932017815E1
3.228388598E0,-2.723999977E1,2.303999901E1,-6.011999893E1,6.990903671E1
3.238388598E0,-2.771999931E1,2.237999916E1,-5.969999695E1,6.952231555E1
3.248388598E0,-2.843999863E1,2.207999992E1,-6.029999924E1,7.023140200E1
3.258388598E0,-2.813999939E1,2.237999916E1,-5.957999802E1,6.958807435E1
3.268388598E0,-2.723999977E1,2.303999901E1,-5.963999939E1,6.949668099E1
3.278388598E0,-2.651999855E1,2.369999886E1,-6.065999985E1,7.031810471E1
3.288387764E0,-2.657999992E1,2.345999908E1,-6.053999710E1,7.015667610E1
3.298387797E0,-2.681999969E1,2.334000015E1,-6.113999939E1,7.072600311E1
3.308387763E0,-2.718000031E1,2.310000038E1,-6.150000000E1,7.109579758E1
3.318387763E0,-2.753999901E1,2.273999977E1,-6.107999802E1,7.075539056E1
3.328387763E0,-2.742000008E1,2.297999954E1,-6.059999847E1,7.037255572E1
3.338387763E0,-2.747999954E1,2.279999924E1,-6.011999893E1,6.992427770E1
3.348387729E0,-2.718000031E1,2.315999985E1,-5.837999725E1,6.843509399E1
3.358387729E0,-2.687999916E1,2.303999901E1,-5.609999847E1,6.633691083E1
3.368387729E0,-2.735999870E1,2.292000008E1,-5.657999802E1,6.689687667E1
3.378387729E0,-2.705999947E1,2.303999901E1,-5.718000031E1,6.732486584E1
3.388388629E0,-2.765999985E1,2.292000008E1,-5.915999985E1,6.921204792E1
3.398388629E0,-2.807999992E1,2.273999977E1,-6.125999832E1,7.112229875E1
3.408388662E0,-2.693999863E1,2.310000038E1,-6.084000015E1,7.043350880E1
