"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.730056762E1,7.678548098E-1,-1.200988173E0,-8.877477646E-1
1.740053432E1,-5.715261102E-1,1.253852844E-1,-3.973384380E0
1.750053425E1,-5.720990896E-1,-9.838817120E-1,-1.188816071E0
1.760053425E1,2.520086169E-1,-1.081487536E0,3.063265800E0
1.770053425E1,-1.262939274E-1,-2.759271622E0,3.110474586E0
1.780053425E1,8.795110583E-1,-9.931017160E-1,-1.993563175E0
1.790053425E1,1.744209602E-2,-2.522032857E-1,-2.171605110E0
1.800053425E1,2.581562102E-1,3.475558758E-2,-8.539752960E-1
1.810053425E1,4.434683919E-1,-1.059581280E0,2.566946983E0
1.820053422E1,-6.389544010E-1,-1.820564151E0,3.695873260E0
1.830053419E1,2.201579958E-1,-1.347041130E0,-4.238510132E-2
1.840053422E1,-2.061628699E-1,-2.354409695E-1,-3.633477211E0
1.850053412E1,-1.245359421E0,-4.413634539E-1,-1.048368454E0
1.860053412E1,3.856955171E-1,-7.829789519E-1,1.775749207E0
1.870053408E1,6.759407371E-2,-2.205378532E0,3.858622551E0
1.880053409E1,5.497606993E-1,-1.803833008E0,7.012424469E-1
1.890053408E1,7.538015246E-1,2.211537957E-1,-3.476068497E0
1.900053408E1,-4.112305120E-2,-2.824378014E-2,-3.335322380E0
1.910053408E1,5.356298089E-1,-6.818562150E-1,2.154750824E-1
1.920053408E1,3.647444248E-1,-6.198929548E-1,2.905737877E0
1.930053409E1,4.921601415E-1,-2.569133759E0,2.196286201E0
1.940053408E1,-2.009441853E-1,-1.946407557E-1,-2.920710087E0
1.950053408E1,-8.502177000E-1,-1.798141003E-1,-3.247868061E0
1.960053408E1,-1.437729478E0,-6.475812793E-1,4.795579910E-1
1.970053408E1,2.810521424E-1,-5.362935066E-1,3.803346634E0
1.980053409E1,1.696771741E0,-2.490227699E0,1.906524658E0
1.990053408E1,1.412924826E-1,-4.158538580E-1,-2.425579548E0
2.000053408E1,-9.583279490E-3,1.211431623E-1,-2.497346401E0
2.010053408E1,5.269191265E-1,1.654522419E-1,-3.851404190E-1
2.020053412E1,3.686076403E-2,-5.576905608E-1,2.986124039E0
2.030053412E1,-3.645589948E-1,-1.705338597E0,3.771619797E-1
2.040053412E1,-7.619744539E-2,-1.287802458E0,-9.608230591E-1
2.050053432E1,-4.847823083E-1,-1.409232616E-3,-2.733034134E0
2.060053432E1,-6.216711998E-1,-5.623166561E-1,5.697517395E-1
2.070053432E1,-2.672386169E-2,-7.047643661E-1,2.653199196E0
2.080053432E1,4.600882232E-1,-2.623212337E0,1.652770042E0
2.090053432E1,4.893764853E-2,-6.671890020E-1,-1.441762924E0
2.100053432E1,6.178331971E-1,3.785243630E-1,-3.638772964E0
2.110053432E1,-1.736021042E-1,1.145618558E-1,-4.270792007E-1
2.120077360E1,-8.084970713E-2,-8.428653479E-1,4.853563309E0
2.130077360E1,-5.077387094E-1,-1.609220982E0,1.818318367E0
2.140077360E1,-5.648844838E-1,-1.670788527E0,-1.772244930E0
2.150077360E1,-1.728506088E-1,-1.693344116E-2,-3.024311543E0
2.160077360E1,3.105726838E-1,-4.570557475E-1,1.974582672E-1
2.170077363E1,-9.068015218E-1,-1.043139458E0,4.636369705E0
2.180077363E1,-2.664096355E-1,-2.103137493E0,7.818250656E-1
2.190077363E1,6.394142509E-1,-8.638649583E-1,-1.683948517E0
2.200077363E1,3.578907251E-2,2.966421843E-2,-1.103676796E0
2.210077363E1,-5.983861685E-1,-2.796341181E-1,1.359381676E0
2.220077363E1,3.025302589E-1,-9.581035972E-1,2.775503159E0
2.230077363E1,-4.238027930E-1,-2.416988373E0,2.599404335E0
2.240077363E1,-5.562219024E-1,-5.706582665E-1,-1.819055080E0
2.250077363E1,-4.649400711E-2,-1.458440423E-1,-2.709905148E0
2.260077363E1,-6.593194604E-2,-1.093711972E0,6.773195267E-1
2.270077363E1,-1.020939827E0,-4.850090146E-1,4.644777298E0
2.280077363E1,1.916177571E-1,-1.732381105E0,1.205912590E0
2.290077363E1,-1.969407797E-1,-1.308570981E0,-9.804458618E-1
2.300077363E1,4.802035987E-1,1.882549524E-1,-3.023664951E0
2.310077363E1,4.938626885E-1,-3.975128531E-1,-3.685102463E-1
2.320077363E1,-3.889479041E-1,-8.045917749E-1,5.021742821E0
2.330077377E1,-1.626191854E0,-1.978850365E0,1.752197266E0
2.340077373E1,4.518236518E-1,-7.817890644E-1,-1.498178482E0
2.350077366E1,-1.266649663E-1,4.905143380E-1,-2.802405834E0
2.360077367E1,2.135621011E-1,-4.379853308E-1,-5.065565109E-1
2.370056444E1,-3.872594833E-1,-8.755028844E-1,3.156028748E0
2.380056444E1,-5.849528313E-1,-2.001805782E0,3.103400230E0
2.390056444E1,-9.508514404E-2,-1.290707588E0,-7.448835373E-1
2.400056444E1,9.278671443E-2,3.756030798E-1,-2.504036903E0
2.410056444E1,6.078109741E-1,-8.364099264E-2,5.141382217E-1
2.420056448E1,7.500044703E-1,-6.784282923E-1,3.623294830E0
2.430056448E1,-8.392655253E-1,-2.503059387E0,2.587430000E0
2.440056448E1,-6.692668200E-1,-8.778600097E-1,-1.562893867E0
2.450056454E1,-5.953286290E-1,-3.009361029E-1,-2.088741302E0
2.460056454E1,-2.224365771E-1,-6.978830695E-1,1.325463295E0
2.470056454E1,-1.188944876E-1,-9.743381143E-1,3.064801216E0
2.480056454E1,-1.126490951E0,-1.878243923E0,1.348830223E0
2.490056454E1,7.857726812E-1,-8.900259137E-1,-2.382220745E0
2.500056454E1,4.757769704E-1,1.629598737E-1,-2.894801617E0
2.510056454E1,5.803188086E-1,2.484216094E-1,-8.301115036E-1
2.520056451E1,-5.068514347E-1,-1.825643778E0,4.969574928E0
2.530056451E1,-1.041327000E0,-2.142910719E0,2.745243073E0
2.540056451E1,4.706604779E-1,-1.767143011E0,-5.508069992E-1
2.550056451E1,1.182748675E-1,9.642625451E-1,-3.740113258E0
2.560056451E1,5.581080914E-3,-7.630978823E-1,4.043188095E-1
2.570056448E1,-9.674954414E-2,-7.175129056E-1,1.399709702E0
2.580056448E1,5.184506178E-1,-1.900901318E0,1.992455482E0
2.590056448E1,-2.512772679E-1,-1.895611525E0,1.020984650E-1
2.600056448E1,2.093856931E-1,4.293587208E-1,-1.941343307E0
2.610056448E1,3.601492643E-1,9.687128663E-2,-3.652381897E-1
2.620056448E1,4.461594522E-1,-5.435404181E-1,2.399127960E0
2.630056434E1,-1.420093179E0,-2.088110924E0,3.571530342E0
2.640056437E1,4.983976483E-1,-8.865736127E-1,-8.131875992E-1
2.650056424E1,-4.303214550E-1,-5.696684122E-3,-3.057039738E0
2.660056424E1,3.438583016E-1,-3.749102354E-2,-2.724285126E-1
2.670056511E1,-1.558436155E-1,-1.206787109E0,2.804821014E0
2.680056511E1,5.482904911E-1,-2.425418854E0,3.930240631E0
2.690056511E1,1.188745260E0,-6.716763973E-1,-9.910163879E-1
2.700056511E1,5.218756199E-1,-1.456600428E-2,-2.849915028E0
2.710056511E1,6.413653493E-1,2.448940277E-2,2.035903931E-2
