"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.216851408E2,5.934626934E1,1.806019454E1,3.920492412E0,1.638109922E0,1.505786438E2,6.000000000E0,3.000000000E0
1.226912662E2,5.934625414E1,1.806020671E1,3.922985873E0,1.652385592E0,1.526871185E2,6.000000000E0,3.000000000E0
1.236854868E2,5.934624130E1,1.806021967E1,3.888669578E0,1.648027658E0,1.520839996E2,6.000000000E0,3.000000000E0
1.246776148E2,5.934622688E1,1.806023159E1,3.876497508E0,1.652628660E0,1.527726135E2,6.000000000E0,3.000000000E0
1.256846369E2,5.934621115E1,1.806024078E1,4.066495800E0,1.662492752E0,1.521689301E2,6.000000000E0,3.000000000E0
1.266706453E2,5.934619683E1,1.806025087E1,4.070989946E0,1.658136368E0,1.513798370E2,6.000000000E0,3.000000000E0
1.276790684E2,5.934618706E1,1.806026063E1,4.119272276E0,1.616647840E0,1.517014313E2,6.000000000E0,3.000000000E0
1.286847146E2,5.934617384E1,1.806026802E1,4.055114896E0,1.600182772E0,1.553672333E2,6.000000000E0,3.000000000E0
1.296841481E2,5.934616656E1,1.806027898E1,4.115868572E0,1.543100238E0,1.503824615E2,6.000000000E0,3.000000000E0
1.306885887E2,5.934615773E1,1.806028464E1,4.112636490E0,1.352584124E0,1.503824615E2,6.000000000E0,3.000000000E0
1.316688241E2,5.934615912E1,1.806028723E1,4.137617261E0,1.057310224E0,1.503824615E2,6.000000000E0,3.000000000E0
1.326907406E2,5.934616158E1,1.806029013E1,4.156278646E0,2.721129172E-2,1.503824615E2,4.000000000E0,3.000000000E0
1.336748894E2,5.934616321E1,1.806029424E1,3.972312083E0,5.101676583E-1,1.503824615E2,4.000000000E0,3.000000000E0
1.346819256E2,5.934616371E1,1.806029823E1,3.859824679E0,2.955039144E-1,1.503824615E2,4.000000000E0,3.000000000E0
1.356824001E2,5.934616352E1,1.806030103E1,3.860558142E0,6.114963442E-3,1.503824615E2,4.000000000E0,3.000000000E0
1.366837193E2,5.934616763E1,1.806030696E1,3.938005836E0,5.149567127E-1,5.009180069E1,6.000000000E0,3.000000000E0
1.376862804E2,5.934617096E1,1.806031465E1,3.955198769E0,4.911664724E-1,5.009180069E1,6.000000000E0,3.000000000E0
1.386834971E2,5.934617578E1,1.806033723E1,4.199020554E0,7.851534486E-1,6.213962173E1,6.000000000E0,3.000000000E0
1.396832525E2,5.934618116E1,1.806035914E1,4.154605238E0,1.110380173E0,6.322299194E1,6.000000000E0,3.000000000E0
1.406847610E2,5.934618743E1,1.806038503E1,4.377279502E0,1.314725041E0,6.228454208E1,6.000000000E0,3.000000000E0
1.416945924E2,5.934619492E1,1.806040843E1,4.306163990E0,1.397840977E0,6.246906662E1,6.000000000E0,3.000000000E0
1.426789100E2,5.934620054E1,1.806043556E1,4.297884291E0,1.456866503E0,6.323648834E1,6.000000000E0,3.000000000E0
1.436735662E2,5.934620376E1,1.806047034E1,4.086064986E0,1.567779183E0,6.278554916E1,6.000000000E0,3.000000000E0
1.446684277E2,5.934621059E1,1.806049620E1,4.055441712E0,1.589547038E0,6.265195084E1,6.000000000E0,3.000000000E0
1.456836466E2,5.934621462E1,1.806053050E1,4.066201482E0,1.654991627E0,6.520690918E1,6.000000000E0,3.000000000E0
1.466879318E2,5.934622134E1,1.806056012E1,4.400395805E0,1.678254724E0,6.794771576E1,6.000000000E0,3.000000000E0
1.476776120E2,5.934622579E1,1.806058764E1,4.383573923E0,1.668798327E0,6.600073242E1,6.000000000E0,3.000000000E0
1.486770175E2,5.934623194E1,1.806061685E1,4.594941749E0,1.680682778E0,6.297584152E1,8.000000000E0,3.000000000E0
1.496864617E2,5.934623824E1,1.806064385E1,4.684640364E0,1.679229736E0,6.261051941E1,8.000000000E0,3.000000000E0
1.506809729E2,5.934624426E1,1.806067138E1,4.558829279E0,1.680214167E0,6.291091156E1,8.000000000E0,3.000000000E0
1.516823373E2,5.934625154E1,1.806069754E1,4.689879214E0,1.679109573E0,6.074771118E1,8.000000000E0,3.000000000E0
1.526824728E2,5.934625656E1,1.806072231E1,4.694342934E0,1.657710671E0,6.205918884E1,8.000000000E0,3.000000000E0
1.536827440E2,5.934626027E1,1.806074019E1,4.698757863E0,1.600879192E0,6.180374527E1,8.000000000E0,3.000000000E0
1.546836505E2,5.934626379E1,1.806075710E1,4.540817821E0,1.549382567E0,5.455933762E1,8.000000000E0,3.000000000E0
