"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.594156530E1,-2.399999857E0,-1.097999954E1,-3.684000015E1
2.604156531E1,-2.279999971E0,-1.085999966E1,-3.629999924E1
2.614156530E1,-9.599999785E-1,-1.092000008E1,-3.677999878E1
2.624156530E1,-1.199999973E-1,-1.151999950E1,-3.504000092E1
2.634156531E1,1.019999981E0,-1.139999962E1,-3.413999939E1
2.644156530E1,-1.799999952E0,-1.355999947E1,-3.126000023E1
2.654156531E1,5.999999642E-1,-1.043999958E1,-3.504000092E1
2.664156530E1,-5.219999790E0,-1.619999886E1,-2.669999886E1
2.674156530E1,-1.559999943E0,-1.235999966E1,-3.521999741E1
2.684156531E1,-9.599999785E-1,-1.277999973E1,-3.450000000E1
2.694156530E1,5.999999866E-2,-1.175999928E1,-3.443999863E1
2.704156531E1,0.000000000E0,-1.103999996E1,-3.504000092E1
2.714156530E1,1.439999938E0,-1.019999981E1,-3.534000015E1
2.724156530E1,1.799999923E-1,-1.223999977E1,-3.557999802E1
2.734156531E1,9.599999785E-1,-1.223999977E1,-3.479999924E1
2.744156530E1,8.399999738E-1,-1.103999996E1,-3.636000061E1
2.754156531E1,-1.379999995E0,-1.205999947E1,-3.659999847E1
2.764156530E1,-3.299999952E0,-1.301999950E1,-3.425999832E1
2.774156530E1,-5.099999905E0,-1.535999966E1,-3.521999741E1
2.784156531E1,-4.679999828E0,-1.421999931E1,-3.618000031E1
2.794156530E1,-4.440000057E0,-1.427999973E1,-3.779999924E1
2.804156531E1,-4.019999981E0,-1.343999958E1,-3.863999939E1
2.814156530E1,-4.859999657E0,-1.463999939E1,-3.936000061E1
2.824156530E1,-7.019999981E0,-1.655999947E1,-3.689999771E1
2.834156531E1,-7.980000019E0,-1.571999931E1,-3.797999954E1
2.844156530E1,-1.038000011E1,-1.577999973E1,-3.815999985E1
2.854156531E1,-1.103999996E1,-1.583999920E1,-3.815999985E1
2.864156530E1,-1.247999954E1,-1.650000000E1,-3.636000061E1
2.874156530E1,-1.661999893E1,-1.811999893E1,-3.420000076E1
2.884156531E1,-1.602000046E1,-1.697999954E1,-3.257999802E1
2.894156530E1,-1.542000008E1,-1.379999924E1,-3.641999817E1
2.904156531E1,-1.397999954E1,-1.085999966E1,-3.797999954E1
2.914156530E1,-1.427999973E1,-1.151999950E1,-3.845999908E1
2.924156530E1,-1.403999996E1,-1.013999939E1,-3.863999939E1
2.934156531E1,-1.361999989E1,-9.960000038E0,-3.750000000E1
2.944156530E1,-1.367999935E1,-8.939999580E0,-3.539999771E1
