"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.364843124E1,-2.374738641E-2,-5.612324551E-2,-6.414085161E-3
1.384843124E1,4.283692688E-2,-2.977967961E-3,2.412917651E-2
1.404843124E1,-3.413209692E-2,3.856086731E-2,1.191187184E-2
1.424843124E1,2.817615867E-2,-7.864889689E-3,-3.359758761E-3
1.444843124E1,2.328923717E-2,4.352414981E-3,2.351831272E-2
1.464843124E1,-5.245805159E-2,3.000875562E-2,1.679879427E-2
1.484843124E1,-2.367102774E-3,-5.345070967E-4,6.414085161E-3
1.504843124E1,1.412625890E-2,5.574145354E-3,2.748893574E-3
1.524843124E1,4.963280167E-3,8.628471754E-3,-5.803219974E-3
1.544843124E1,1.779145002E-2,-1.145372284E-3,-3.970623948E-3
1.564843124E1,2.451096848E-2,-1.580613852E-2,3.878994286E-2
1.584843124E1,4.528038576E-2,-1.030835137E-2,1.557706390E-2
1.604843124E1,-4.757113010E-2,4.222606122E-2,-4.367686436E-2
1.624843124E1,1.290452853E-2,-1.519527286E-2,6.414085161E-3
1.644843124E1,-1.824959926E-2,-7.864889689E-3,-6.414085161E-3
1.664843124E1,3.245221451E-2,-1.756237587E-3,-9.162978968E-4
1.684843124E1,1.412625890E-2,5.574145354E-3,7.635815535E-3
1.704843124E1,2.756529488E-2,-2.557998151E-2,3.390302137E-2
1.724843124E1,3.000875562E-2,-1.030835137E-2,4.978551716E-2
1.744843124E1,-7.864889689E-3,-1.030835137E-2,1.041525230E-1
1.764843124E1,4.963280167E-3,1.718058437E-2,3.222314119E-1
1.784843124E1,-5.734497309E-2,4.039346427E-2,6.710354686E-1
1.804843124E1,8.865182102E-2,4.344778880E-2,1.067487001E0
1.824843124E1,-1.091921609E-2,-2.985603921E-2,1.351539373E0
1.844843124E1,3.061962128E-2,-2.741257846E-2,1.317330956E0
1.864843124E1,-8.666650951E-2,-3.535382450E-2,1.157895088E0
1.884843124E1,1.442405581E-1,-3.901901841E-2,5.732970238E-1
1.904843124E1,8.804095536E-2,1.509600729E-1,4.474588037E-1
1.924843124E1,-1.666898578E-1,-2.496911772E-2,1.811215430E-1
1.944843124E1,-4.390593991E-2,-2.191479132E-2,5.833763257E-2
1.964843124E1,6.727153808E-2,-1.091921609E-2,-4.856378585E-2
1.984843124E1,3.428481147E-2,4.963280167E-3,-3.970623948E-3
2.004843124E1,2.519819187E-3,2.695442922E-2,2.474004216E-2
2.024843124E1,5.016730726E-2,3.741549561E-3,-8.246680722E-3
2.044843124E1,7.406740915E-3,6.185010541E-3,-7.635815535E-3
2.064843124E1,2.817615867E-2,-3.588833380E-3,9.468411095E-3
2.084843124E1,-6.956227869E-2,-1.336267684E-2,2.596177347E-2
2.104843124E1,2.519819187E-3,-1.458440814E-2,1.374446787E-2
2.124843124E1,-1.214094646E-2,6.185010541E-3,1.557706390E-2
2.144843124E1,-4.199698567E-3,-3.352123126E-2,1.313360315E-2
2.164843124E1,-5.345070967E-4,9.239336476E-3,2.412917651E-2
2.184843124E1,1.351539325E-2,1.908953884E-3,4.581489135E-3
2.204843124E1,-2.985603921E-2,8.628471754E-3,-2.229658142E-2
2.224843124E1,-4.940372705E-2,-1.397354249E-2,-5.192354787E-3
2.244843124E1,-7.139487565E-2,-1.580613852E-2,2.779436857E-2
2.264843124E1,2.451096848E-2,-4.810563754E-3,-6.505715102E-2
2.284843124E1,-4.818199575E-2,-1.886046492E-2,4.978551716E-2
2.304843124E1,4.894557595E-2,-4.879286140E-2,1.096503139E-1
2.324843124E1,6.238461286E-2,2.519819187E-3,7.177666575E-2
2.344843124E1,-1.868484020E-1,5.574145354E-3,3.863722682E-1
2.364843124E1,-3.352123126E-2,-4.879286140E-2,1.426370293E-1
2.384843124E1,-1.734093726E-1,-3.779728711E-2,-1.291979998E-1
2.404843124E1,-1.324813962E-1,-8.544477820E-2,-1.524108797E-1
2.424843124E1,-8.788824081E-2,5.383250117E-2,-6.139195710E-2
2.444843124E1,1.698969007E-1,8.009970188E-2,1.273654103E-1
2.464843124E1,4.466952011E-2,-5.673411116E-2,2.525927722E-1
2.484843124E1,8.926268667E-2,6.849326193E-2,4.917465150E-2
2.504843124E1,7.826711237E-2,-9.086620063E-3,-1.786780804E-1
2.524843124E1,9.476047009E-2,-3.352123126E-2,-9.498954564E-2
2.544843124E1,-1.886810064E-1,-6.956227869E-2,-1.527163084E-3
2.564843124E1,2.634356357E-2,7.154759020E-2,8.827003092E-2
2.584843124E1,2.267837152E-2,2.206750773E-2,1.756237596E-1
2.604843124E1,-6.650795043E-2,4.772384837E-2,4.581489135E-3
2.624843124E1,-1.984548420E-1,5.261076987E-2,-3.084869497E-2
2.644843124E1,-4.634939879E-2,1.779145002E-2,-3.451388702E-2
2.664843124E1,-2.863430791E-2,1.656972058E-2,-3.451388702E-2
2.684843124E1,1.168279815E-2,-4.199698567E-3,-2.962696366E-2
2.704843124E1,-4.512767121E-2,-5.345070967E-4,-3.054326226E-4
2.724843124E1,-6.223189831E-2,6.788240373E-2,2.748893574E-3
2.744843124E1,-2.191479132E-2,2.878702432E-2,-1.191187184E-2
2.764843124E1,9.850202128E-3,3.130684374E-3,-2.657263726E-2
2.784843124E1,-1.580613852E-2,-7.864889689E-3,3.359758761E-3
2.804843124E1,1.901318133E-2,1.412625890E-2,1.252273750E-2
2.824843124E1,-1.145372284E-3,-1.275181212E-2,3.054326226E-4
2.844843124E1,-1.702786796E-2,-6.643159315E-3,9.162978968E-4
2.864843124E1,2.206750773E-2,9.239336476E-3,-1.496619824E-2
2.884843124E1,-8.544477820E-2,-2.802344225E-2,-3.023782931E-2
2.904843124E1,-1.214094646E-2,-1.519527286E-2,-1.007927675E-2
2.924843124E1,2.145664208E-2,1.168279815E-2,-7.024950348E-3
2.944843124E1,-5.184718594E-2,-1.763873361E-2,4.581489135E-3
2.964843124E1,-6.643159315E-3,1.229366288E-2,-1.130100712E-2
2.984843124E1,3.367394581E-2,-2.252565511E-2,-8.246680722E-3
3.004843124E1,-2.367102774E-3,-2.367102774E-3,6.414085161E-3
3.024843124E1,8.628471754E-3,-4.810563754E-3,-8.857546374E-3
3.044843124E1,-5.978843570E-2,-5.345070967E-4,1.130100712E-2
3.064843124E1,1.718058437E-2,-3.588833380E-3,1.863138936E-2
3.084843124E1,-1.336267684E-2,1.298088697E-3,3.970623948E-3
